,posX_passer,posY_passer,received_PosX,received_PosY,isForward,isSucceeded,receiverId,Player_id,Team,matchDuration,Time block,Zone,Area Football Pitch,Angle Passe,Pass type,Pass length,Playing direction_first half,Playing direction_second half,Pressure level,Distance to first opponent,Outpassed opponents,total_passes,pass_day,pass_hour,pass_minute,pass_second,start_day,start_hour,start_minute,time_process_hour,time_process_minute,time_process_second
64,12,10,4,10,1,1,95594.0,95597,0,66.22186666666667,1,0,16,0.0,0,-0.3268997056244447,0,0,1,-0.8249333882852443,0,25,5,11,39,53,5,11,36,0,3,40
65,4,31,13,17,0,1,95594.0,95597,0,66.22186666666667,1,0,17,2.142133806628523,1,0.7249732056113145,0,0,2,-2.2567448274288027,1,25,5,11,40,19,5,11,36,0,4,6
66,23,23,17,36,0,1,95587.0,95597,0,66.22186666666667,1,0,14,1.138388551224359,1,0.5336357146904792,0,0,0,0.27048547902722114,0,25,5,11,42,23,5,11,36,0,6,10
67,88,1,88,0,0,1,95585.0,95597,0,66.22186666666667,1,1,1,1.570796326794897,1,-2.8067114638675608,0,0,1,-0.2913668425391682,0,25,5,11,44,59,5,11,36,0,8,46
68,53,14,52,22,0,1,95594.0,95597,0,66.22186666666667,1,2,7,1.446441332248135,1,-0.2639845916795205,0,0,2,-1.5255293162731396,0,25,5,11,45,14,5,11,36,0,9,1
69,55,10,62,13,0,1,95601.0,95597,0,66.22186666666667,1,2,7,2.73670086730471,2,-0.3870776830245226,0,0,2,-1.2872763089443122,0,25,5,11,45,28,5,11,36,0,9,15
70,52,3,53,12,0,1,95594.0,95597,0,66.22186666666667,1,2,7,1.681453547968792,1,-0.08289637816794465,0,0,1,0.15746946013461322,0,25,5,11,46,16,5,11,36,0,10,3
71,16,3,14,23,0,1,95602.0,95597,0,66.22186666666667,1,0,16,1.471127674303734,1,0.9754656565083215,0,0,1,-0.2665835926263275,0,25,5,11,47,3,5,11,36,0,10,50
72,45,63,44,54,0,1,95602.0,95597,0,66.22186666666667,2,2,12,1.460139105621001,1,-0.08289637816794465,0,0,1,-0.6549304836891194,0,25,5,11,53,59,5,11,36,0,17,46
73,35,51,46,54,0,1,95579.0,95597,0,66.22186666666667,3,2,12,2.875340604438868,2,0.236798889881903,0,0,0,0.6895289039903829,0,25,5,11,59,1,5,11,36,0,22,48
74,38,62,37,50,0,1,95601.0,95597,0,66.22186666666667,3,2,12,1.487655094906455,1,0.3005420014373436,0,0,0,0.8516767933882984,0,25,5,11,59,6,5,11,36,0,22,53
75,2,9,-1,38,0,0,,95597,0,66.22186666666667,3,0,16,1.467714718272196,1,1.5573425669244887,0,0,0,1.6291034825369872,2,25,5,11,59,31,5,11,36,0,23,18
76,47,9,49,11,0,1,95582.0,95597,0,66.22186666666667,3,2,10,2.356194490192345,1,-1.8050230761335024,0,0,2,-2.183092089298852,0,25,5,12,8,38,5,11,36,0,32,25
77,47,14,49,23,0,0,,95597,0,66.22186666666667,3,2,10,1.789465272668838,1,-0.043924024540264145,0,0,1,-0.7765277585872264,1,25,5,12,8,42,5,11,36,0,32,29
78,20,12,27,21,0,1,95601.0,95597,0,66.22186666666667,4,0,13,2.231839495645583,1,0.236798889881903,0,0,2,-1.6741857759106464,0,25,5,12,10,44,5,11,36,0,34,31
79,52,4,48,10,0,1,95602.0,95597,0,66.22186666666667,4,2,7,0.9827937232473292,1,-0.45703255293911804,0,0,1,-0.24713363385812345,0,25,5,12,13,48,5,11,36,0,37,35
80,0,11,4,30,0,1,95587.0,95597,0,66.22186666666667,4,0,16,1.778292553230099,1,0.9223302184168565,0,0,1,0.22391579796511588,3,25,5,12,14,1,5,11,36,0,37,48
81,17,20,21,31,0,1,95601.0,95597,0,66.22186666666667,4,0,13,1.919567330378803,1,0.2652838681602032,0,0,1,-0.6729155779923613,1,25,5,12,19,52,5,11,36,0,43,39
82,26,9,11,38,0,0,,95597,0,66.22186666666667,5,0,13,1.093450944421225,1,1.8106832489758775,0,0,1,-0.6363865203698571,3,25,5,12,24,22,5,11,36,0,48,9
83,69,6,79,10,0,1,95595.0,95597,0,66.22186666666667,5,1,4,2.761086276477428,2,0.1485840216958501,0,0,2,-1.4461035929181756,1,25,5,12,27,1,5,11,36,0,50,48
84,28,23,19,36,0,1,95594.0,95597,0,66.22186666666667,5,0,14,0.9652516631899264,1,0.6471768109382816,0,0,0,0.5134914249316125,0,25,5,12,27,26,5,11,36,0,51,13
85,8,2,2,35,0,0,,95597,0,66.22186666666667,6,0,16,1.390942827002418,1,1.8953119854269544,0,0,2,-1.3716572255726536,3,25,5,12,35,36,5,11,36,0,59,23
86,44,9,35,24,0,0,,95597,0,66.22186666666667,6,2,10,1.030376826524313,1,0.7731401540191062,0,0,1,-0.4617220670323469,1,25,5,12,41,44,5,11,36,1,5,31
87,46,44,56,39,0,1,95579.0,95601,0,66.22186666666667,1,2,12,2.677945044588987,2,0.20465991857047622,0,0,2,-1.820155011411863,0,58,5,11,36,24,5,11,36,0,0,11
88,47,50,42,62,0,1,95583.0,95601,0,66.22186666666667,1,2,12,1.176005207095135,1,0.39384741763566583,0,0,0,0.4403831045648587,0,58,5,11,37,34,5,11,36,0,1,21
89,42,46,28,37,1,0,,95601,0,66.22186666666667,1,2,12,0.5713374798336268,0,0.7249732056113145,0,0,0,0.8482399592416272,1,58,5,11,37,39,5,11,36,0,1,26
90,43,32,40,30,1,1,95602.0,95601,0,66.22186666666667,1,2,11,0.5880026035475674,0,-1.4461035929181751,0,0,1,0.12705243342112585,0,58,5,11,37,46,5,11,36,0,1,33
91,77,37,66,12,0,1,95585.0,95601,0,66.22186666666667,1,1,5,1.156289452210111,1,1.4276147086201987,0,0,1,0.04517983902747526,0,58,5,11,38,9,5,11,36,0,1,56
92,22,38,17,26,0,1,95597.0,95601,0,66.22186666666667,1,0,14,1.176005207095135,1,0.39384741763566583,0,0,0,0.34149265585889366,0,58,5,11,39,28,5,11,36,0,3,15
93,31,27,38,27,0,1,95595.0,95601,0,66.22186666666667,1,0,14,3.141592653589793,2,-0.5583922312531167,0,0,0,1.0173943625819841,0,58,5,11,39,44,5,11,36,0,3,31
94,22,29,27,23,0,1,95595.0,95601,0,66.22186666666667,1,0,14,2.265534602991599,1,-0.3574957320533234,0,0,2,-0.879040384840073,0,58,5,11,40,2,5,11,36,0,3,49
95,62,42,70,45,0,1,95579.0,95601,0,66.22186666666667,1,2,8,2.782821983319221,2,-0.15746946013461435,0,0,1,-0.41426686353425346,0,58,5,11,43,56,5,11,36,0,7,43
96,84,9,68,5,1,1,95597.0,95601,0,66.22186666666667,1,1,1,0.2449786631268642,0,0.708751856519529,0,0,0,0.4556403137378794,1,58,5,11,45,8,5,11,36,0,8,55
97,61,19,70,28,0,1,95579.0,95601,0,66.22186666666667,1,2,7,2.356194490192345,1,0.3695581856124022,0,0,2,-0.9033006222888622,0,58,5,11,45,31,5,11,36,0,9,18
98,81,36,72,16,0,1,95585.0,95601,0,66.22186666666667,1,1,5,1.147942400661956,1,1.0707445970692107,0,0,1,0.01380069383179172,0,58,5,11,46,6,5,11,36,0,9,53
99,71,19,73,33,0,1,95579.0,95601,0,66.22186666666667,1,1,4,1.71269338139906,1,0.5049220111265829,0,0,1,-0.0640267225378644,0,58,5,11,46,42,5,11,36,0,10,29
100,71,13,53,13,1,1,95594.0,95601,0,66.22186666666667,1,1,4,0.0,0,0.7977063670913488,0,0,1,0.1682050381687683,0,58,5,11,46,50,5,11,36,0,10,37
101,23,27,19,34,0,1,95587.0,95601,0,66.22186666666667,1,0,14,1.051650212548374,1,-0.2639845916795205,0,0,0,0.7529974415343902,0,58,5,11,47,7,5,11,36,0,10,54
102,63,36,63,26,0,0,,95601,0,66.22186666666667,2,2,8,1.570796326794897,1,0.04894771798160344,0,0,0,0.27882336786752715,0,58,5,11,49,22,5,11,36,0,13,9
103,30,47,24,62,0,1,95583.0,95601,0,66.22186666666667,2,0,15,1.190289949682532,1,0.6863498948283557,0,0,1,-0.6119957936995946,1,58,5,11,50,4,5,11,36,0,13,51
104,49,34,37,14,0,1,95594.0,95601,0,66.22186666666667,2,2,11,1.030376826524313,1,1.1672240832456335,0,0,1,0.1752784285930189,0,58,5,11,54,5,5,11,36,0,17,52
105,61,47,33,43,1,0,,95601,0,66.22186666666667,2,2,9,0.141897054604164,0,1.4790043989044603,0,0,0,0.30448192559296294,0,58,5,11,55,45,5,11,36,0,19,32
106,50,46,56,40,0,1,95595.0,95601,0,66.22186666666667,2,2,9,2.356194490192345,1,-0.18547963396527678,0,0,1,-0.7135985159874969,0,58,5,11,56,5,5,11,36,0,19,52
107,37,41,34,29,0,1,95988.0,95601,0,66.22186666666667,2,2,11,1.325817663668032,1,0.34548507371979836,0,0,1,-0.7055299818373915,0,58,5,11,57,47,5,11,36,0,21,34
108,70,49,55,42,1,0,,95601,0,66.22186666666667,3,1,6,0.4366271598135412,0,0.7168389528871789,0,0,1,-0.09927374872396885,0,58,5,11,58,25,5,11,36,0,22,12
109,52,31,45,29,1,1,95988.0,95601,0,66.22186666666667,3,2,8,0.2782996590051114,0,-0.4197409936702005,0,0,0,1.0937420608823796,0,58,5,11,58,40,5,11,36,0,22,27
110,53,27,59,25,0,1,95595.0,95601,0,66.22186666666667,3,2,8,2.819842099193151,2,-0.6815943390528618,0,0,1,-0.09095603204288662,0,58,5,11,58,44,5,11,36,0,22,31
111,36,42,-1,23,1,0,,95601,0,66.22186666666667,3,2,11,0.4743998827919071,0,2.4567731896314653,0,0,1,0.17782697898639005,2,58,5,11,59,10,5,11,36,0,22,57
112,63,39,67,40,0,1,95595.0,95601,0,66.22186666666667,3,2,8,2.896613990462929,2,-1.2502418557878947,0,0,1,-0.5264168675711283,0,58,5,12,0,51,5,11,36,0,24,38
113,42,12,46,14,0,1,95595.0,95601,0,66.22186666666667,3,2,10,2.677945044588987,2,-1.084195157559207,0,0,1,-0.4556403137378794,0,58,5,12,1,34,5,11,36,0,25,21
